idRischio,sesso,etaMin,etaMax,diabete,fumo,pressioneMin,pressioneMax,colesteroloMin,colesteroloMax,percentuale
r115,donna,40,49,1,1,130,149,291,320,5
r116,donna,40,49,1,1,90,129,130,173,5
r117,donna,40,49,1,1,90,129,174,212,5
r118,donna,40,49,1,1,90,129,213,251,5
r119,donna,40,49,1,1,90,129,252,290,5
r120,donna,40,49,1,1,90,129,291,320,5
r121,donna,60,69,0,0,170,200,130,173,10
r122,donna,60,69,0,0,170,200,174,212,10
r123,donna,60,69,0,0,170,200,213,251,10
r124,donna,60,69,0,0,170,200,252,290,15
r125,donna,60,69,0,0,170,200,291,320,15
r126,donna,60,69,0,0,150,169,130,173,10
r127,donna,60,69,0,0,150,169,174,212,10
r128,donna,60,69,0,0,150,169,213,251,10
r129,donna,60,69,0,0,150,169,252,290,10
r130,donna,60,69,0,0,150,169,291,320,10
r131,donna,60,69,0,0,130,149,130,173,5
r132,donna,60,69,0,0,130,149,174,212,5
r133,donna,60,69,0,0,130,149,213,251,5
r134,donna,60,69,0,0,130,149,252,290,5
r135,donna,60,69,0,0,130,149,291,320,10
r136,donna,60,69,0,0,90,129,130,173,5
r137,donna,60,69,0,0,90,129,174,212,5
r138,donna,60,69,0,0,90,129,213,251,5
r139,donna,60,69,0,0,90,129,252,290,5
r140,donna,60,69,0,0,90,129,291,320,5
r141,donna,50,59,0,0,170,200,130,173,5
r142,donna,50,59,0,0,170,200,174,212,5
r143,donna,50,50,0,0,170,200,213,251,5
r144,donna,50,59,0,0,170,200,252,290,5
r145,donna,50,59,0,0,170,200,291,320,10
r146,donna,50,59,0,0,150,169,130,173,5
r147,donna,50,59,0,0,150,169,174,212,5
r148,donna,50,59,0,0,150,169,213,251,5
r149,donna,50,59,0,0,150,169,252,290,5
r150,donna,50,59,0,0,150,169,291,320,5
r151,donna,50,59,0,0,130,149,130,173,5
r152,donna,50,59,0,0,130,149,174,212,5
r153,donna,50,59,0,0,130,149,213,251,5
r154,donna,50,59,0,0,130,149,252,290,5
r155,donna,50,59,0,0,130,149,291,320,5
r156,donna,50,59,0,0,90,129,130,173,5
r157,donna,50,59,0,0,90,129,174,212,5
r158,donna,50,59,0,0,90,129,213,251,5
r159,donna,50,59,0,0,90,129,252,290,5
r160,donna,50,59,0,0,90,129,291,320,5
r161,donna,40,49,0,0,170,200,130,173,5
r162,donna,40,49,0,0,170,200,174,212,5
r163,donna,40,49,0,0,170,200,213,251,5
r164,donna,40,49,0,0,170,200,252,290,5
r165,donna,40,49,0,0,170,200,291,320,5
r166,donna,40,49,0,0,150,169,130,173,5
r167,donna,40,49,0,0,150,169,174,212,5
r168,donna,40,49,0,0,150,169,213,251,5
r169,donna,40,49,0,0,150,169,252,290,5
r170,donna,40,49,0,0,150,169,291,320,5
r171,donna,40,49,0,0,130,149,130,173,5
r172,donna,40,49,0,0,130,149,174,212,5
r173,donna,40,49,0,0,130,149,213,251,5
r174,donna,40,49,0,0,130,149,252,290,5
r175,donna,40,49,0,0,130,149,291,320,5
r176,donna,40,49,0,0,90,129,130,173,5
r177,donna,40,49,0,0,90,129,174,212,5
r178,donna,40,49,0,0,90,129,213,251,5
r179,donna,40,49,0,0,90,129,252,290,5
r180,donna,40,49,0,0,90,129,291,320,5
r181,donna,60,69,0,1,170,200,130,173,20
r182,donna,60,69,0,1,170,200,174,212,20
r183,donna,60,69,0,1,170,200,213,251,20
r184,donna,60,69,0,1,170,200,252,290,20
r185,donna,60,69,0,1,170,200,291,320,30
r186,donna,60,69,0,1,150,169,130,173,15
r187,donna,60,69,0,1,150,169,174,212,15
